openalex_id,doi,landing_page_url,current_type,opus_type,is_changed,opus_confidence,opus_reason,opus_is_broken,lp_status,error
https://openalex.org/W2612629394,https://doi.org/10.1071/ma08217,https://doi.org/10.1071/ma08217,article,article,False,high,"Crossref journal-article with abstract, 25 references, and multi-page range in a journal venue indicates a research article.",False,403,
https://openalex.org/W2728437676,https://doi.org/10.5603/arm.2017.0022,https://doi.org/10.5603/arm.2017.0022,article,article,False,high,"dc.type=Article, journal-article with 23 refs and full page range 127-135 indicates original research article.",False,403,
https://openalex.org/W1986906406,https://doi.org/10.1007/s10891-009-0121-0,https://link.springer.com/article/10.1007/s10891-009-0121-0,article,article,False,high,dc.type=OriginalPaper in a journal with original research content confirms article.,False,200,
https://openalex.org/W4292219961,https://doi.org/10.1080/10426507.2022.2112582,https://www.tandfonline.com/doi/full/10.1080/10426507.2022.2112582,article,article,False,high,Original research with 27 refs and dc.Type 'brief-report' maps to article.,False,200,
https://openalex.org/W4213272823,https://doi.org/10.1111/jce.15415,https://doi.org/10.1111/jce.15415,editorial,editorial,False,high,"Single-page, 0-reference introduction announcing a new journal series, classic editorial framing.",False,403,
https://openalex.org/W4244754922,https://doi.org/10.2305/iucn.uk.2017-2.rlts.t54435a49315004.en,https://www.iucnredlist.org/species/54435/49315004,dataset,dataset,False,high,IUCN Red List species assessment record with Crossref type dataset from a repository source.,False,200,
https://openalex.org/W3116554857,https://doi.org/10.1016/s1530-891x(20)39688-9,https://linkinghub.elsevier.com/retrieve/pii/S1530891X20396889,article,conference-abstract,True,high,"Title begins ""Abstract #806354"" with single page and 0 refs in a meeting supplement.",False,200,
https://openalex.org/W2104589570,https://doi.org/10.4321/s1130-01082006000600004,https://doi.org/10.4321/s1130-01082006000600004,article,article,False,high,"Journal research article with abstract, 16 references, and multi-page range; lp_status 503 is a transient bot-block not a dead page.",False,503,
https://openalex.org/W4255894363,https://doi.org/10.5194/acp-2017-367-ac1,https://acp.copernicus.org/preprints/acp-2017-367/acp-2017-367-AC1.pdf,peer-review,peer-review,False,high,Crossref type peer-review and title 'Response to: Interactive comment...by Anonymous Referee' is an author response in open peer-review.,False,200,
https://openalex.org/W3203556247,https://doi.org/10.46814/lajdv3n5-027,https://ojs.latinamericanpublicacoes.com.br/ojs/index.php/jdev/article/view/771,article,article,False,high,"DC.Type.articleType is ""Articles"" with full page range in a journal, indicating a standard research article.",False,200,
