annotator,openalex_id,doi,landing_page_url,title,source_type,current_type,annotated_type,predicted_new_type,final_label_notes
jason,https://openalex.org/W4286433090,https://doi.org/10.1007/s10043-022-00746-z,https://doi.org/10.1007/s10043-022-00746-z,,journal,,article,,
jason,https://openalex.org/W2254996489,https://doi.org/10.1017/s1049023x0002923x,https://doi.org/10.1017/s1049023x0002923x,,journal,,article,,
jason,https://openalex.org/W2901578002,https://doi.org/10.15641/bo.v9i0.634,https://doi.org/10.15641/bo.v9i0.634,,journal,,article,,
jason,https://openalex.org/W270074781,https://doi.org/10.1016/0017-9310(72)90198-6,https://doi.org/10.1016/0017-9310(72)90198-6,,journal,,peer-review,,
jason,https://openalex.org/W4250474222,https://doi.org/10.1097/00115550-200305000-00014,https://doi.org/10.1097/00115550-200305000-00014,,journal,,broken,site keeps on redirecting to the source page which is the same as the site is in,
jason,https://openalex.org/W4299433670,https://doi.org/10.17816/0321-4443-66193,https://doi.org/10.17816/0321-4443-66193,,journal,,article,,
jason,https://openalex.org/W2558050161,https://doi.org/10.1107/s2053273315093808,https://doi.org/10.1107/s2053273315093808,,journal,,article,,
jason,https://openalex.org/W2496309657,https://doi.org/10.1093/med/9780199218806.003.0017,https://doi.org/10.1093/med/9780199218806.003.0017,,,,book-chapter,,
jason,https://openalex.org/W2000724896,https://doi.org/10.1002/jctb.5000422503,https://doi.org/10.1002/jctb.5000422503,,journal,,,,
jason,https://openalex.org/W4231651957,https://doi.org/10.1002/jctb.5000281501,https://doi.org/10.1002/jctb.5000281501,,journal,,,,
jason,https://openalex.org/W2163273350,https://doi.org/10.1109/lapc.2008.4516889,https://doi.org/10.1109/lapc.2008.4516889,,,,,,
jason,https://openalex.org/W4294636196,https://doi.org/10.1007/978-3-031-09400-2_15,https://doi.org/10.1007/978-3-031-09400-2_15,,book series,,,,
jason,https://openalex.org/W2494933952,https://doi.org/10.5748/9788599693124-13contecsi/ps-4049,https://doi.org/10.5748/9788599693124-13contecsi/ps-4049,,conference,,,,
jason,https://openalex.org/W2892602765,https://doi.org/10.22270/jddt.v8i5.1836,https://doi.org/10.22270/jddt.v8i5.1836,,journal,,,,
jason,https://openalex.org/W2263915062,https://doi.org/10.2139/ssrn.1615201,https://doi.org/10.2139/ssrn.1615201,,repository,,,,
jason,https://openalex.org/W4233462779,https://doi.org/10.1007/978-1-4020-6754-9_17862,https://doi.org/10.1007/978-1-4020-6754-9_17862,,,,,,
jason,https://openalex.org/W2503696107,https://doi.org/10.1016/b978-0-323-62520-3.00022-1,https://doi.org/10.1016/b978-0-323-62520-3.00022-1,,ebook platform,,,,
jason,https://openalex.org/W3216917422,https://doi.org/10.1364/assl.2021.atu4a.4,https://doi.org/10.1364/assl.2021.atu4a.4,,conference,,,,
jason,https://openalex.org/W271021998,https://doi.org/10.1176/appi.psychotherapy.2007.61.1.99,https://doi.org/10.1176/appi.psychotherapy.2007.61.1.99,,journal,,,,
jason,https://openalex.org/W4241635925,https://doi.org/10.1515/bchm2.1968.349.1.263,https://doi.org/10.1515/bchm2.1968.349.1.263,,journal,,,,
jason,https://openalex.org/W2518229766,https://doi.org/10.3406/bsef.2002.16889,https://doi.org/10.3406/bsef.2002.16889,,journal,,,,
jason,https://openalex.org/W2061526177,https://doi.org/10.1097/01.ogx.0000251099.76370.1b,https://doi.org/10.1097/01.ogx.0000251099.76370.1b,,journal,,article,,
jason,https://openalex.org/W2432147558,https://doi.org/10.1093/neuonc/now069.01,https://doi.org/10.1093/neuonc/now069.01,,journal,,other,,
jason,https://openalex.org/W4251917975,https://doi.org/10.1016/0140-7007(85)90115-x,https://doi.org/10.1016/0140-7007(85)90115-x,,journal,,book-chapter,,
jason,https://openalex.org/W7161485673,https://doi.org/10.1007/978-981-95-4593-3_8,https://doi.org/10.1007/978-981-95-4593-3_8,,journal,,article,,
jason,https://openalex.org/W4386728571,https://doi.org/10.1055/s-0042-1752010,http://dx.doi.org/10.1055/s-0042-1752010,,journal,"no text, but says ""buy article""",reference-entry,,
jason,https://openalex.org/W2799254600,https://doi.org/10.1007/978-3-642-16483-5_6326,https://doi.org/10.1007/978-3-642-16483-5_6326,,,,article,,
jason,https://openalex.org/W2508451089,https://doi.org/10.1134/s0026893316040178,https://doi.org/10.1134/s0026893316040178,,journal,,book-chapter,,
jason,https://openalex.org/W3043825595,https://doi.org/10.1525/9780520911857-009,https://doi.org/10.1525/9780520911857-009,,,,article,,
jason,https://openalex.org/W4309014057,https://doi.org/10.1063/5.0104628,https://doi.org/10.1063/5.0104628,,journal,,article,,
jason,https://openalex.org/W4412883417,https://doi.org/10.2174/0126662558388089250720111710,https://doi.org/10.2174/0126662558388089250720111710,,journal,,article,,
jason,https://openalex.org/W7161594299,https://doi.org/10.1093/ajrccm/aamag162.6816,https://doi.org/10.1093/ajrccm/aamag162.6816,,journal,,conference-paper,,
jason,https://openalex.org/W2159865637,https://doi.org/10.2514/6.2004-2526,https://doi.org/10.2514/6.2004-2526,,,,book-chapter,,
